,"deklination","stamme"
"deterior","3.","r-stamme"
"dexter","1./2.","o-/a-stamme"
"difficilis","3.","i-stamme"
"dignus","1./2.","o-/a-stamme"
"dilectus","1./2.","o-/a-stamme"
"directus","1./2.","o-/a-stamme"
"diurnus","1./2.","o-/a-stamme"
"dives","3.","t-stamme"
"divinus","1./2.","o-/a-stamme"
"docibilis","3.","i-stamme"
"domesticus","1./2.","o-/a-stamme"
"dominicus","1./2.","o-/a-stamme"
"dubius","1./2.","o-/a-stamme"
"dulcis","3.","i-stamme"
"duplex","3.","c-stamme"
"duplus","1./2.","o-/a-stamme"
"durus","1./2.","o-/a-stamme"
"ebriosus","1./2.","o-/a-stamme"
"ebrius","1./2.","o-/a-stamme"
"egenus","1./2.","o-/a-stamme"
"eloquens","3.","t-stamme"
"Ephesius","1./2.","o-/a-stamme"
"epicureus","1./2.","o-/a-stamme"
"equester","3.","r-stamme"
"ethnicus","1./2.","o-/a-stamme"
"evidens","3.","t-stamme"
"excellens","3.","t-stamme"
"excelsus","1./2.","o-/a-stamme"
"exfornicatus","1./2.","o-/a-stamme"
"exiguus","1./2.","o-/a-stamme"
"expers","3.","t-stamme"
"ex(s)ecratus","1./2.","o-/a-stamme"
"exter","1./2.","o-/a-stamme"
"facilis","3.","i-stamme"
